,Hotel Name,Author,Country,Review
1,Aziza Paradise Hotel,Hiba, Japan,"Liked · it truly exceeded my expectations.
this place totally had the resort feel and the staff were extremely accommodating and friendly"
2,Aziza Paradise Hotel,Leo, United States of America,Liked · Cleanliness and friendly staff.
3,Aziza Paradise Hotel,Kirkpatrick, United States of America,Liked · Nice view of the courtyard when you arrive. The food was good.
4,Aziza Paradise Hotel,Gerardo, United States of America,"Liked · I enjoyed the pool because it’s nice to go for a swim, the pool was open surprisingly late which I thought was great. My room had a pool side view which was nice as well."
5,Aziza Paradise Hotel,Peralta, Germany,"Liked · Cosy,relaxing,, courteous staff, welcome drinks, food are super good, band is such a good idea in the lobby, very romantic, service is Perfect.

Disliked · Some areas seems old, need some little renovations."
6,Aziza Paradise Hotel,Shaira, Philippines,"Liked · amazing stay even just for a night, staff were very really accommodating!"
7,Aziza Paradise Hotel,Victoria, United Kingdom,"Liked · Beautiful outdoor and communal areas- absolutely stunning.

Disliked · The room we had was quite basic and a bit tatty but otherwise good."
8,Aziza Paradise Hotel,Marco, Canada,"Liked · I like this hotel. It's clean and well-maintained. Staff were gracious, hospitable and accommodating. The foyer is really nice. I will choose this hotel next time.

Disliked · Pool needs a bit of repair. They also made me pay for losing the room card."
9,Aziza Paradise Hotel,Richard, Philippines,Liked · overall
10,Aziza Paradise Hotel,Donna, New Zealand,"Liked · The staff were amazing, drinks as you arrived. Hotel looked beautiful, and was very clean and tidy.
The food was delicious.

Disliked · The rain stopped us from enjoying being by pool sunbathing."
11,Aziza Paradise Hotel,Kenneth, Australia,Liked · We have stayed here before....all round nice accommodation
12,Aziza Paradise Hotel,Melchor, Philippines,"Liked · place rooms

Disliked · internet access poor, improve on breakfast choices"
13,Aziza Paradise Hotel,Benita, Australia,"Liked · The pool was divine

Disliked · The floors are slippery"
14,Aziza Paradise Hotel,Tye, United Kingdom,"Liked · Excellent hotel, it actually took us by surprise. We booked with short notice due to flight cancellations, and once we arrived, we wished we'd stayed longer"
15,Aziza Paradise Hotel,Paulo, Germany,"Liked · The staff's availability, the fair prices, the generous infrastructure, the customer-oriented customer contact channels (e.g. online booking)

Disliked · The sound level of the playing musical band at times when most people wish to rest or sleep. Some equipment and infrastructure needs better maintenance or already reached the end of service life."
16,Aziza Paradise Hotel,Adelberg, United States of America,"Liked · Restaurant, live music and ambience.

Disliked · Bathrooms needs to be revisited. Pool closing hours need to be extended."
17,Aziza Paradise Hotel,Adiel, Israel,"Liked · The staff was great and so welcoming. Breakfast had all the necessary ingredients and they cooked eggs and pancakes by request.
The pool was so beautiful and the temperature of the water was just perfect for a hot and sunny day. Location was great as well, close to everywhere by tuktuk and there was a massage place and a convenient store right in front of the hotel. The room was specious and overall clean.
Beds were comfortable and large. And a special thanks to Adam the bartender who made us feel so welcome with a great service and smile.

Disliked · They were ants everywhere in the room even though we did not leave any food laying around. The sink faucet slashed everywhere each time we opened it. And the water in the toilet sometimes would not go down the drain.
TV in the room are smart TV but not connected to internet so you can only watch cable TV.
There was no plug for the electric kettle and the cable was so short we had to plug it on the floor behind the TV table."
18,Aziza Paradise Hotel,Paulo, Germany,"Liked · Supportive staff, all core amenities available, very good food, clean, easy to access with trycicle or car

Disliked · Music loud, from the local band, at rest times, when people wish to rest and sleep"
19,Aziza Paradise Hotel,William, Australia,"Liked · The pool is exceptional and the room was comfortable and clean. Staff were very friendly and helpful. The breakfast options were a mix between Asian food and western food. There was also a band and singer that entertained guests during the evenings.

Disliked · The location could've been a bit more central. The fitness centre was quite small and stuffy. Some of the equipment there needed to be fixed or maintained a bit better. Breakfast food options were a bit limited."
20,Aziza Paradise Hotel,Felino, United Arab Emirates,"Liked · The hotel team were very attentive and helped us out whenever they could.
Our stay would have not been complete without doing the daily excursions which was only possible with the professional help of reservation agent Jessica, from the time I booked to the time we arrived she had organized exactly what we needed to have a great experience and she exceeded that.

Disliked · The smell of mold is what really needs to be taken care of as this could be a health hazard for present and future guests."
